Name	Edot [erg/s]	Size [pc]	Distance [kpc]	Age [kyr]	Total_E [erg]	Volume [cm^3]	Edens [eV/cm^]	mean_edens [eV/cm^]	min_edens [eV/cm^]	max_edens [eV/cm^]
B0656+14	3.8018939632055973e+34	16.2	0.29	111.0	1.330851461062534e+47	4.8083648872792695e+59	0.17276506701746605	0.03279842	0.00800142	0.0912457
Geminga	3.2359365692962677e+34	16.2	0.25	342.0	3.4900585512069867e+47	4.8083648872792695e+59	0.4530634838938075	0.01115327833333333	0.00198314	0.03732776
J1813-178	5.623413251903491e+37	6.0383687418066545	4.7	5.6	9.931037777473594e+48	2.4900683282362775e+58	248.94713572337008	13.752190797558209	5.9393711499745665	37.46509416591403
J1833-105	3.388441561392034e+37	4.0	4.1	4.85	5.18260781438287e+48	7.238229473870883e+57	446.93026235430654	10.585851666666667	3.8672	21.3461
J1514-591	1.6982436524617322e+37	16.756473258513466	4.4	1.56	8.354706644549178e+47	5.321085371584543e+59	0.9800646904439051	3.1879349754990307	1.3107056483859614	7.551242832387007
J1930+188	1.2022644346174083e+37	9.0	7.0	2.89	1.0957322639717336e+48	8.244795760081053e+58	8.295609728535377	4.289225	1.07485	10.3284
J1420-607	1e+37	11.925778265068143	5.61	13.0	4.09968e+48	1.9182824976332592e+59	13.340163709762617	7.28984042757241	2.9375359278979944	18.30573580970925
J1849-000	9.772372209558151e+36	16.6055140399683	7.0	42.9	1.322098763702685e+49	5.178563976378882e+59	15.93596317565002	0.4437373163514202	0.1799072159134883	1.2665740080505559
J1846-029	8.128305161640929e+36	3.0	5.8	0.728	1.8661132058842605e+47	3.0536280592892788e+57	38.14570211226265	47.257016666666665	18.6599	100.756
J0835-455	6.918309709189419e+36	2.9	0.28	11.3	2.4653867093756722e+48	2.7583309162224526e+57	557.9078184352941	3.4404642521273683	1.0593802878669811	10.715890146097493
J1837-069	5.49540873857627e+36	61.89327960351821	6.6	22.7	3.933982866540127e+48	2.68153123828707e+61	0.09157424945244903	0.20850954962140633	0.0711361811545279	0.38297903740152844
J1418-609	4.897788193684436e+36	14.190166543245638	5.0	10.3	1.5909034793031337e+48	3.231579550530937e+59	3.0729305475951008	3.2405633082794627	1.3260130662496319	7.702747317585356
J1356-645	3.090295432513605e+36	15.246881073061802	2.5	7.31	7.1240011991376545e+47	4.008624826015883e+59	1.1093084889466542	1.4728995521102004	0.5584387885730084	3.665989956883148
J1825-137	2.818382931264472e+36	48.306949934453236	3.93	21.4	1.902043216175627e+48	1.274914984056974e+61	0.09312427811922004	0.24713660451033048	0.09649254386337666	0.5312307689748399
J1119-614	2.2908676527677702e+36	21.13429059632329	8.4	1.61	1.1631413169927188e+47	1.0676167957313038e+60	0.06800500076148876	2.48918012773551	0.45731855590618264	7.327910338185373
J1303-631	1.6982436524617322e+36	31.097599020304273	6.65	11.0	5.89113930064365e+47	3.401206117635804e+60	0.10811603367389687	1.2918179729576458	0.46243459377934254	2.789287103164383
Crab	4.4668359215096166e+38	3.0	2.0	1.26	1.7749133340211636e+49	3.0536280592892788e+57	3628.146197195576	1496.1585000000002	242.432	4711.68
